Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[cell line]	Characteristics[disease]	Characteristics[organism part]	Characteristics[genotype]	Characteristics[cell type]	Characteristics[sex]	Material Type	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Comment[end bias]	Comment[input molecule]	Comment[library construction]	Comment[single cell isolation]	Comment[spike in]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Factor Value[RNA interference]	Factor Value[cell cycle phase]	Factor Value[single cell identifier]
Sample 39	ERS5954373	SAMEA8268143	Homo sapiens	hTERT-RPE1	normal	retina	immortalized with hTERT	retinal pigment epithelial cell	female	cell	P-MTAB-107600	P-MTAB-107598	P-MTAB-107599	P-MTAB-107604	P-MTAB-107601	P-MTAB-107602	Sample 39	SINGLE	size fractionation	GENOMIC SINGLE CELL	WGA	none	genomic DNA	other	FACS	none	P-MTAB-107603	Macrogen Japan	Sample 39	sequencing assay	ERX5270325	siSAF-A_mid-S_01.fastq.gz	siSAF-A_mid-S_01.fastq.gz	ERR5488888	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR548/008/ERR5488888/ERR5488888.fastq.gz	SAF-A siRNA	mid-S phase	siSAF-A mid-S cell 1
Sample 48	ERS5954374	SAMEA8268144	Homo sapiens	hTERT-RPE1	normal	retina	immortalized with hTERT	retinal pigment epithelial cell	female	cell	P-MTAB-107600	P-MTAB-107598	P-MTAB-107599	P-MTAB-107604	P-MTAB-107601	P-MTAB-107602	Sample 48	SINGLE	size fractionation	GENOMIC SINGLE CELL	WGA	none	genomic DNA	other	FACS	none	P-MTAB-107603	Macrogen Japan	Sample 48	sequencing assay	ERX5270326	siSAF-A_mid-S_10.fastq.gz	siSAF-A_mid-S_10.fastq.gz	ERR5488889	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR548/009/ERR5488889/ERR5488889.fastq.gz	SAF-A siRNA	mid-S phase	siSAF-A mid-S cell 10
Sample 49	ERS5954375	SAMEA8268145	Homo sapiens	hTERT-RPE1	normal	retina	immortalized with hTERT	retinal pigment epithelial cell	female	cell	P-MTAB-107600	P-MTAB-107598	P-MTAB-107599	P-MTAB-107604	P-MTAB-107601	P-MTAB-107602	Sample 49	SINGLE	size fractionation	GENOMIC SINGLE CELL	WGA	none	genomic DNA	other	FACS	none	P-MTAB-107603	Macrogen Japan	Sample 49	sequencing assay	ERX5270327	siSAF-A_mid-S_11.fastq.gz	siSAF-A_mid-S_11.fastq.gz	ERR5488890	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR548/000/ERR5488890/ERR5488890.fastq.gz	SAF-A siRNA	mid-S phase	siSAF-A mid-S cell 11
Sample 50	ERS5954376	SAMEA8268146	Homo sapiens	hTERT-RPE1	normal	retina	immortalized with hTERT	retinal pigment epithelial cell	female	cell	P-MTAB-107600	P-MTAB-107598	P-MTAB-107599	P-MTAB-107604	P-MTAB-107601	P-MTAB-107602	Sample 50	SINGLE	size fractionation	GENOMIC SINGLE CELL	WGA	none	genomic DNA	other	FACS	none	P-MTAB-107603	Macrogen Japan	Sample 50	sequencing assay	ERX5270328	siSAF-A_mid-S_12.fastq.gz	siSAF-A_mid-S_12.fastq.gz	ERR5488891	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR548/001/ERR5488891/ERR5488891.fastq.gz	SAF-A siRNA	mid-S phase	siSAF-A mid-S cell 12
Sample 51	ERS5954377	SAMEA8268147	Homo sapiens	hTERT-RPE1	normal	retina	immortalized with hTERT	retinal pigment epithelial cell	female	cell	P-MTAB-107600	P-MTAB-107598	P-MTAB-107599	P-MTAB-107604	P-MTAB-107601	P-MTAB-107602	Sample 51	SINGLE	size fractionation	GENOMIC SINGLE CELL	WGA	none	genomic DNA	other	FACS	none	P-MTAB-107603	Macrogen Japan	Sample 51	sequencing assay	ERX5270329	siSAF-A_mid-S_13.fastq.gz	siSAF-A_mid-S_13.fastq.gz	ERR5488892	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR548/002/ERR5488892/ERR5488892.fastq.gz	SAF-A siRNA	mid-S phase	siSAF-A mid-S cell 13
Sample 52	ERS5954378	SAMEA8268148	Homo sapiens	hTERT-RPE1	normal	retina	immortalized with hTERT	retinal pigment epithelial cell	female	cell	P-MTAB-107600	P-MTAB-107598	P-MTAB-107599	P-MTAB-107604	P-MTAB-107601	P-MTAB-107602	Sample 52	SINGLE	size fractionation	GENOMIC SINGLE CELL	WGA	none	genomic DNA	other	FACS	none	P-MTAB-107603	Macrogen Japan	Sample 52	sequencing assay	ERX5270330	siSAF-A_mid-S_14.fastq.gz	siSAF-A_mid-S_14.fastq.gz	ERR5488893	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR548/003/ERR5488893/ERR5488893.fastq.gz	SAF-A siRNA	mid-S phase	siSAF-A mid-S cell 14
Sample 53	ERS5954379	SAMEA8268149	Homo sapiens	hTERT-RPE1	normal	retina	immortalized with hTERT	retinal pigment epithelial cell	female	cell	P-MTAB-107600	P-MTAB-107598	P-MTAB-107599	P-MTAB-107604	P-MTAB-107601	P-MTAB-107602	Sample 53	SINGLE	size fractionation	GENOMIC SINGLE CELL	WGA	none	genomic DNA	other	FACS	none	P-MTAB-107603	Macrogen Japan	Sample 53	sequencing assay	ERX5270331	siSAF-A_mid-S_15.fastq.gz	siSAF-A_mid-S_15.fastq.gz	ERR5488894	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR548/004/ERR5488894/ERR5488894.fastq.gz	SAF-A siRNA	mid-S phase	siSAF-A mid-S cell 15
Sample 54	ERS5954380	SAMEA8268150	Homo sapiens	hTERT-RPE1	normal	retina	immortalized with hTERT	retinal pigment epithelial cell	female	cell	P-MTAB-107600	P-MTAB-107598	P-MTAB-107599	P-MTAB-107604	P-MTAB-107601	P-MTAB-107602	Sample 54	SINGLE	size fractionation	GENOMIC SINGLE CELL	WGA	none	genomic DNA	other	FACS	none	P-MTAB-107603	Macrogen Japan	Sample 54	sequencing assay	ERX5270332	siSAF-A_mid-S_16.fastq.gz	siSAF-A_mid-S_16.fastq.gz	ERR5488895	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR548/005/ERR5488895/ERR5488895.fastq.gz	SAF-A siRNA	mid-S phase	siSAF-A mid-S cell 16
Sample 55	ERS5954381	SAMEA8268151	Homo sapiens	hTERT-RPE1	normal	retina	immortalized with hTERT	retinal pigment epithelial cell	female	cell	P-MTAB-107600	P-MTAB-107598	P-MTAB-107599	P-MTAB-107604	P-MTAB-107601	P-MTAB-107602	Sample 55	SINGLE	size fractionation	GENOMIC SINGLE CELL	WGA	none	genomic DNA	other	FACS	none	P-MTAB-107603	Macrogen Japan	Sample 55	sequencing assay	ERX5270333	siSAF-A_mid-S_17.fastq.gz	siSAF-A_mid-S_17.fastq.gz	ERR5488896	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR548/006/ERR5488896/ERR5488896.fastq.gz	SAF-A siRNA	mid-S phase	siSAF-A mid-S cell 17
Sample 56	ERS5954382	SAMEA8268152	Homo sapiens	hTERT-RPE1	normal	retina	immortalized with hTERT	retinal pigment epithelial cell	female	cell	P-MTAB-107600	P-MTAB-107598	P-MTAB-107599	P-MTAB-107604	P-MTAB-107601	P-MTAB-107602	Sample 56	SINGLE	size fractionation	GENOMIC SINGLE CELL	WGA	none	genomic DNA	other	FACS	none	P-MTAB-107603	Macrogen Japan	Sample 56	sequencing assay	ERX5270334	siSAF-A_mid-S_18.fastq.gz	siSAF-A_mid-S_18.fastq.gz	ERR5488897	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR548/007/ERR5488897/ERR5488897.fastq.gz	SAF-A siRNA	mid-S phase	siSAF-A mid-S cell 18
Sample 57	ERS5954383	SAMEA8268153	Homo sapiens	hTERT-RPE1	normal	retina	immortalized with hTERT	retinal pigment epithelial cell	female	cell	P-MTAB-107600	P-MTAB-107598	P-MTAB-107599	P-MTAB-107604	P-MTAB-107601	P-MTAB-107602	Sample 57	SINGLE	size fractionation	GENOMIC SINGLE CELL	WGA	none	genomic DNA	other	FACS	none	P-MTAB-107603	Macrogen Japan	Sample 57	sequencing assay	ERX5270335	siSAF-A_mid-S_19.fastq.gz	siSAF-A_mid-S_19.fastq.gz	ERR5488898	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR548/008/ERR5488898/ERR5488898.fastq.gz	SAF-A siRNA	mid-S phase	siSAF-A mid-S cell 19
Sample 5	ERS5954384	SAMEA8268154	Homo sapiens	hTERT-RPE1	normal	retina	immortalized with hTERT	retinal pigment epithelial cell	female	cell	P-MTAB-107600	P-MTAB-107598	P-MTAB-107599	P-MTAB-107604	P-MTAB-107601	P-MTAB-107602	Sample 5	SINGLE	size fractionation	GENOMIC SINGLE CELL	WGA	none	genomic DNA	other	FACS	none	P-MTAB-107603	Macrogen Japan	Sample 5	sequencing assay	ERX5270336	siSAF-A_G1_02.fastq.gz	siSAF-A_G1_02.fastq.gz	ERR5488899	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR548/009/ERR5488899/ERR5488899.fastq.gz	SAF-A siRNA	G1 phase	siSAF-A G1 cell 2
Sample 40	ERS5954385	SAMEA8268155	Homo sapiens	hTERT-RPE1	normal	retina	immortalized with hTERT	retinal pigment epithelial cell	female	cell	P-MTAB-107600	P-MTAB-107598	P-MTAB-107599	P-MTAB-107604	P-MTAB-107601	P-MTAB-107602	Sample 40	SINGLE	size fractionation	GENOMIC SINGLE CELL	WGA	none	genomic DNA	other	FACS	none	P-MTAB-107603	Macrogen Japan	Sample 40	sequencing assay	ERX5270337	siSAF-A_mid-S_02.fastq.gz	siSAF-A_mid-S_02.fastq.gz	ERR5488900	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR548/000/ERR5488900/ERR5488900.fastq.gz	SAF-A siRNA	mid-S phase	siSAF-A mid-S cell 2
Sample 58	ERS5954386	SAMEA8268156	Homo sapiens	hTERT-RPE1	normal	retina	immortalized with hTERT	retinal pigment epithelial cell	female	cell	P-MTAB-107600	P-MTAB-107598	P-MTAB-107599	P-MTAB-107604	P-MTAB-107601	P-MTAB-107602	Sample 58	SINGLE	size fractionation	GENOMIC SINGLE CELL	WGA	none	genomic DNA	other	FACS	none	P-MTAB-107603	Macrogen Japan	Sample 58	sequencing assay	ERX5270338	siSAF-A_mid-S_20.fastq.gz	siSAF-A_mid-S_20.fastq.gz	ERR5488901	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR548/001/ERR5488901/ERR5488901.fastq.gz	SAF-A siRNA	mid-S phase	siSAF-A mid-S cell 20
Sample 59	ERS5954387	SAMEA8268157	Homo sapiens	hTERT-RPE1	normal	retina	immortalized with hTERT	retinal pigment epithelial cell	female	cell	P-MTAB-107600	P-MTAB-107598	P-MTAB-107599	P-MTAB-107604	P-MTAB-107601	P-MTAB-107602	Sample 59	SINGLE	size fractionation	GENOMIC SINGLE CELL	WGA	none	genomic DNA	other	FACS	none	P-MTAB-107603	Macrogen Japan	Sample 59	sequencing assay	ERX5270339	siSAF-A_mid-S_21.fastq.gz	siSAF-A_mid-S_21.fastq.gz	ERR5488902	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR548/002/ERR5488902/ERR5488902.fastq.gz	SAF-A siRNA	mid-S phase	siSAF-A mid-S cell 21
Sample 60	ERS5954388	SAMEA8268158	Homo sapiens	hTERT-RPE1	normal	retina	immortalized with hTERT	retinal pigment epithelial cell	female	cell	P-MTAB-107600	P-MTAB-107598	P-MTAB-107599	P-MTAB-107604	P-MTAB-107601	P-MTAB-107602	Sample 60	SINGLE	size fractionation	GENOMIC SINGLE CELL	WGA	none	genomic DNA	other	FACS	none	P-MTAB-107603	Macrogen Japan	Sample 60	sequencing assay	ERX5270340	siSAF-A_mid-S_22.fastq.gz	siSAF-A_mid-S_22.fastq.gz	ERR5488903	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR548/003/ERR5488903/ERR5488903.fastq.gz	SAF-A siRNA	mid-S phase	siSAF-A mid-S cell 22
Sample 61	ERS5954389	SAMEA8268159	Homo sapiens	hTERT-RPE1	normal	retina	immortalized with hTERT	retinal pigment epithelial cell	female	cell	P-MTAB-107600	P-MTAB-107598	P-MTAB-107599	P-MTAB-107604	P-MTAB-107601	P-MTAB-107602	Sample 61	SINGLE	size fractionation	GENOMIC SINGLE CELL	WGA	none	genomic DNA	other	FACS	none	P-MTAB-107603	Macrogen Japan	Sample 61	sequencing assay	ERX5270341	siSAF-A_mid-S_23.fastq.gz	siSAF-A_mid-S_23.fastq.gz	ERR5488904	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR548/004/ERR5488904/ERR5488904.fastq.gz	SAF-A siRNA	mid-S phase	siSAF-A mid-S cell 23
Sample 62	ERS5954390	SAMEA8268160	Homo sapiens	hTERT-RPE1	normal	retina	immortalized with hTERT	retinal pigment epithelial cell	female	cell	P-MTAB-107600	P-MTAB-107598	P-MTAB-107599	P-MTAB-107604	P-MTAB-107601	P-MTAB-107602	Sample 62	SINGLE	size fractionation	GENOMIC SINGLE CELL	WGA	none	genomic DNA	other	FACS	none	P-MTAB-107603	Macrogen Japan	Sample 62	sequencing assay	ERX5270342	siSAF-A_mid-S_24.fastq.gz	siSAF-A_mid-S_24.fastq.gz	ERR5488905	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR548/005/ERR5488905/ERR5488905.fastq.gz	SAF-A siRNA	mid-S phase	siSAF-A mid-S cell 24
Sample 63	ERS5954391	SAMEA8268161	Homo sapiens	hTERT-RPE1	normal	retina	immortalized with hTERT	retinal pigment epithelial cell	female	cell	P-MTAB-107600	P-MTAB-107598	P-MTAB-107599	P-MTAB-107604	P-MTAB-107601	P-MTAB-107602	Sample 63	SINGLE	size fractionation	GENOMIC SINGLE CELL	WGA	none	genomic DNA	other	FACS	none	P-MTAB-107603	Macrogen Japan	Sample 63	sequencing assay	ERX5270343	siSAF-A_mid-S_25.fastq.gz	siSAF-A_mid-S_25.fastq.gz	ERR5488906	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR548/006/ERR5488906/ERR5488906.fastq.gz	SAF-A siRNA	mid-S phase	siSAF-A mid-S cell 25
Sample 41	ERS5954392	SAMEA8268162	Homo sapiens	hTERT-RPE1	normal	retina	immortalized with hTERT	retinal pigment epithelial cell	female	cell	P-MTAB-107600	P-MTAB-107598	P-MTAB-107599	P-MTAB-107604	P-MTAB-107601	P-MTAB-107602	Sample 41	SINGLE	size fractionation	GENOMIC SINGLE CELL	WGA	none	genomic DNA	other	FACS	none	P-MTAB-107603	Macrogen Japan	Sample 41	sequencing assay	ERX5270344	siSAF-A_mid-S_03.fastq.gz	siSAF-A_mid-S_03.fastq.gz	ERR5488907	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR548/007/ERR5488907/ERR5488907.fastq.gz	SAF-A siRNA	mid-S phase	siSAF-A mid-S cell 3
Sample 42	ERS5954393	SAMEA8268163	Homo sapiens	hTERT-RPE1	normal	retina	immortalized with hTERT	retinal pigment epithelial cell	female	cell	P-MTAB-107600	P-MTAB-107598	P-MTAB-107599	P-MTAB-107604	P-MTAB-107601	P-MTAB-107602	Sample 42	SINGLE	size fractionation	GENOMIC SINGLE CELL	WGA	none	genomic DNA	other	FACS	none	P-MTAB-107603	Macrogen Japan	Sample 42	sequencing assay	ERX5270345	siSAF-A_mid-S_04.fastq.gz	siSAF-A_mid-S_04.fastq.gz	ERR5488908	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR548/008/ERR5488908/ERR5488908.fastq.gz	SAF-A siRNA	mid-S phase	siSAF-A mid-S cell 4
Sample 43	ERS5954394	SAMEA8268164	Homo sapiens	hTERT-RPE1	normal	retina	immortalized with hTERT	retinal pigment epithelial cell	female	cell	P-MTAB-107600	P-MTAB-107598	P-MTAB-107599	P-MTAB-107604	P-MTAB-107601	P-MTAB-107602	Sample 43	SINGLE	size fractionation	GENOMIC SINGLE CELL	WGA	none	genomic DNA	other	FACS	none	P-MTAB-107603	Macrogen Japan	Sample 43	sequencing assay	ERX5270346	siSAF-A_mid-S_05.fastq.gz	siSAF-A_mid-S_05.fastq.gz	ERR5488909	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR548/009/ERR5488909/ERR5488909.fastq.gz	SAF-A siRNA	mid-S phase	siSAF-A mid-S cell 5
Sample 44	ERS5954395	SAMEA8268165	Homo sapiens	hTERT-RPE1	normal	retina	immortalized with hTERT	retinal pigment epithelial cell	female	cell	P-MTAB-107600	P-MTAB-107598	P-MTAB-107599	P-MTAB-107604	P-MTAB-107601	P-MTAB-107602	Sample 44	SINGLE	size fractionation	GENOMIC SINGLE CELL	WGA	none	genomic DNA	other	FACS	none	P-MTAB-107603	Macrogen Japan	Sample 44	sequencing assay	ERX5270347	siSAF-A_mid-S_06.fastq.gz	siSAF-A_mid-S_06.fastq.gz	ERR5488910	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR548/000/ERR5488910/ERR5488910.fastq.gz	SAF-A siRNA	mid-S phase	siSAF-A mid-S cell 6
Sample 45	ERS5954396	SAMEA8268166	Homo sapiens	hTERT-RPE1	normal	retina	immortalized with hTERT	retinal pigment epithelial cell	female	cell	P-MTAB-107600	P-MTAB-107598	P-MTAB-107599	P-MTAB-107604	P-MTAB-107601	P-MTAB-107602	Sample 45	SINGLE	size fractionation	GENOMIC SINGLE CELL	WGA	none	genomic DNA	other	FACS	none	P-MTAB-107603	Macrogen Japan	Sample 45	sequencing assay	ERX5270348	siSAF-A_mid-S_07.fastq.gz	siSAF-A_mid-S_07.fastq.gz	ERR5488911	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR548/001/ERR5488911/ERR5488911.fastq.gz	SAF-A siRNA	mid-S phase	siSAF-A mid-S cell 7
Sample 46	ERS5954397	SAMEA8268167	Homo sapiens	hTERT-RPE1	normal	retina	immortalized with hTERT	retinal pigment epithelial cell	female	cell	P-MTAB-107600	P-MTAB-107598	P-MTAB-107599	P-MTAB-107604	P-MTAB-107601	P-MTAB-107602	Sample 46	SINGLE	size fractionation	GENOMIC SINGLE CELL	WGA	none	genomic DNA	other	FACS	none	P-MTAB-107603	Macrogen Japan	Sample 46	sequencing assay	ERX5270349	siSAF-A_mid-S_08.fastq.gz	siSAF-A_mid-S_08.fastq.gz	ERR5488912	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR548/002/ERR5488912/ERR5488912.fastq.gz	SAF-A siRNA	mid-S phase	siSAF-A mid-S cell 8
Sample 47	ERS5954398	SAMEA8268168	Homo sapiens	hTERT-RPE1	normal	retina	immortalized with hTERT	retinal pigment epithelial cell	female	cell	P-MTAB-107600	P-MTAB-107598	P-MTAB-107599	P-MTAB-107604	P-MTAB-107601	P-MTAB-107602	Sample 47	SINGLE	size fractionation	GENOMIC SINGLE CELL	WGA	none	genomic DNA	other	FACS	none	P-MTAB-107603	Macrogen Japan	Sample 47	sequencing assay	ERX5270350	siSAF-A_mid-S_09.fastq.gz	siSAF-A_mid-S_09.fastq.gz	ERR5488913	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR548/003/ERR5488913/ERR5488913.fastq.gz	SAF-A siRNA	mid-S phase	siSAF-A mid-S cell 9
